parameter,provenance_type,value,unit,crop,region,season,source,source_url,source_year,transformation,assumption,confidence,notes
climate.ET0_seasonal,SYNTHETIC_GROUNDED,"kharif 4.2, rabi 3.5",mm/day,,R3,,Rao et al. ET0 over India (Penman-Monteith spatial characterisation); Bihar/Patna annual 4.1 mm/day supporting anchor,https://www.researchgate.net/publication/293484465,2012,Seasonal totals divided by season length where reported as totals,Regional ET0 interpolated from a published all-India ET0 spatial characterisation; not a station seasonal mean.,LOW,"Humid eastern India: lower ET0. Regional characterisation (kharif monsoon-suppressed, rabi cool), NOT a station seasonal mean; refine with a WB station."
climate.ET0_seasonal,SYNTHETIC_GROUNDED,"kharif 6.5, rabi 4.5",mm/day,,R4,,"Rao et al. ET0 over India (southern Rajasthan among highest, summer 7-13 mm/day); arid-Rajasthan CWR studies supporting",https://www.researchgate.net/publication/293484465,2012,Seasonal totals divided by season length where reported as totals,Regional ET0 interpolated from a published all-India ET0 spatial characterisation; not a station seasonal mean.,MEDIUM,"Semi-arid west: high ET0. Regional characterisation, not a station seasonal mean; refine with a Rajasthan (e.g. Bikaner/Jodhpur) station."
climate.ET0_seasonal,SYNTHETIC_GROUNDED,"kharif 5.0, rabi 4.3",mm/day,,R5,,Rao et al. ET0 over India (western Karnataka 5-6 mm/day),https://www.researchgate.net/publication/293484465,2012,Seasonal totals divided by season length where reported as totals,Regional ET0 interpolated from a published all-India ET0 spatial characterisation; not a station seasonal mean.,LOW,"Southern peninsula: moderate ET0. Regional characterisation, not a station seasonal mean; refine with a Karnataka station."
crop.crop_water_requirement,DERIVED,,mm/season,,,,FAO-56 Kc method (crop_water.py) x regional ET0 (this module),https://www.fao.org/4/x0490e/x0490e0b.htm,1998,CWR = sum_stages(Kc_stage * ET0 * stage_days); uniform seasonal ET0 across stages,Stage-uniform ET0 pending monthly IMD/CROPWAT stage-resolved values,MEDIUM,"Computed for all five regions; R1/R2 station-based, R3-R5 characterisation-based."
climate.seasonal_rainfall,SYNTHETIC_GROUNDED,"kharif 460, rabi 100",mm,,R1,,IMD seasonal rainfall climatology (all-India LPA 868.6 mm; East&NE subdivision 1367.3 mm),https://mausam.imd.gov.in/responsive/rainfall_statistics.php,2020,,Representative state seasonal rainfall from IMD climatology; all-India LPA and East&NE subdivision normal are IMD-sourced anchors.,MEDIUM,Refine with IMD district/subdivision normals.
climate.seasonal_rainfall,SYNTHETIC_GROUNDED,"kharif 700, rabi 60",mm,,R2,,IMD seasonal rainfall climatology (all-India LPA 868.6 mm; East&NE subdivision 1367.3 mm),https://mausam.imd.gov.in/responsive/rainfall_statistics.php,2020,,Representative state seasonal rainfall from IMD climatology; all-India LPA and East&NE subdivision normal are IMD-sourced anchors.,MEDIUM,Refine with IMD district/subdivision normals.
climate.seasonal_rainfall,SYNTHETIC_GROUNDED,"kharif 1200, rabi 100",mm,,R3,,IMD seasonal rainfall climatology (all-India LPA 868.6 mm; East&NE subdivision 1367.3 mm),https://mausam.imd.gov.in/responsive/rainfall_statistics.php,2020,,Representative state seasonal rainfall from IMD climatology; all-India LPA and East&NE subdivision normal are IMD-sourced anchors.,MEDIUM,Refine with IMD district/subdivision normals.
climate.seasonal_rainfall,SYNTHETIC_GROUNDED,"kharif 400, rabi 30",mm,,R4,,IMD seasonal rainfall climatology (all-India LPA 868.6 mm; East&NE subdivision 1367.3 mm),https://mausam.imd.gov.in/responsive/rainfall_statistics.php,2020,,Representative state seasonal rainfall from IMD climatology; all-India LPA and East&NE subdivision normal are IMD-sourced anchors.,MEDIUM,Refine with IMD district/subdivision normals.
climate.seasonal_rainfall,SYNTHETIC_GROUNDED,"kharif 600, rabi 150",mm,,R5,,IMD seasonal rainfall climatology (all-India LPA 868.6 mm; East&NE subdivision 1367.3 mm),https://mausam.imd.gov.in/responsive/rainfall_statistics.php,2020,,Representative state seasonal rainfall from IMD climatology; all-India LPA and East&NE subdivision normal are IMD-sourced anchors.,LOW,Refine with IMD district/subdivision normals.
climate.rainfall_effectiveness,SYNTHETIC_EXPERIMENTAL,"kharif 0.75, rabi 0.80",fraction,,,,,,,,,REQUIRES_SOURCING,"FAO/USDA effective-rainfall fraction, simplified to a fixed ratio; experimental parameter for sensitivity analysis."
crop.msp_floor_per_kg,OBSERVED,23.69,INR/kg,rice,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,"Paddy Common. MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,1579,INR/quintal (A2+FL),rice,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,24.0,INR/kg,maize,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,". MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,1508,INR/quintal (A2+FL),maize,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,36.99,INR/kg,sorghum,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,"Jowar Hybrid. MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,2466,INR/quintal (A2+FL),sorghum,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,27.75,INR/kg,pearl_millet,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,"Bajra. MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,1703,INR/quintal (A2+FL),pearl_millet,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,80.0,INR/kg,pigeon_pea,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,"Tur/Arhar. MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,5038,INR/quintal (A2+FL),pigeon_pea,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,72.63,INR/kg,groundnut,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,". MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,4842,INR/quintal (A2+FL),groundnut,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,53.28,INR/kg,soybean,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,"Soybean Yellow. MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,3552,INR/quintal (A2+FL),soybean,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,77.1,INR/kg,cotton,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,MSP Rs/quintal / 100,,HIGH,"Medium Staple. MSP is a NATIONAL POLICY FLOOR (KMS 2025-26), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,5140,INR/quintal (A2+FL),cotton,,,"CACP/CCEA MSP, Kharif Marketing Season 2025-26 (PIB PRID 2131983)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131983,2025,,,HIGH,"CACP cost of production, basis A2+FL. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,25.85,INR/kg,wheat,,,"CACP/CCEA MSP, Rabi Marketing Season 2026-27 (PIB PRID 2173567)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2173567,2025,MSP Rs/quintal / 100,,HIGH,". MSP is a NATIONAL POLICY FLOOR (RMS 2026-27), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,1804,INR/quintal (C2),wheat,,,"CACP/CCEA MSP, Rabi Marketing Season 2026-27 (PIB PRID 2173567)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2173567,2025,,,HIGH,"CACP cost of production, basis C2. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,58.75,INR/kg,chickpea,,,"CACP/CCEA MSP, Rabi Marketing Season 2026-27 (PIB PRID 2173567)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2173567,2025,MSP Rs/quintal / 100,,HIGH,"Gram. MSP is a NATIONAL POLICY FLOOR (RMS 2026-27), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,5243,INR/quintal (C2),chickpea,,,"CACP/CCEA MSP, Rabi Marketing Season 2026-27 (PIB PRID 2173567)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2173567,2025,,,HIGH,"CACP cost of production, basis C2. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.msp_floor_per_kg,OBSERVED,62.0,INR/kg,mustard,,,"CACP/CCEA MSP, Rabi Marketing Season 2026-27 (PIB PRID 2173567)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2173567,2025,MSP Rs/quintal / 100,,HIGH,"Rapeseed & Mustard; C2 cost RMS 2025-26 (CACP). MSP is a NATIONAL POLICY FLOOR (RMS 2026-27), not the market price and not demand. Region-specific AGMARKNET market price remains a separate obligation. Access 2026-08-13."
crop.cost_per_quintal,OBSERVED,4294,INR/quintal (C2),mustard,,,"CACP/CCEA MSP, Rabi Marketing Season 2026-27 (PIB PRID 2173567)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2173567,2025,,,HIGH,"CACP cost of production, basis C2. Bases differ across seasons (kharif A2+FL vs rabi C2) and MUST NOT be mixed. cultivation_cost/ha = cost_per_quintal x yield_q_per_ha (DERIVED, pending consistent-basis yield)."
crop.price_per_kg,SYNTHETIC_EXPERIMENTAL,,INR/kg,potato,,,,,,,,REQUIRES_SOURCING,No MSP; AGMARKNET modal price required. Derive from AGMARKNET modal prices with a documented aggregation rule.
crop.price_per_kg,SYNTHETIC_EXPERIMENTAL,,INR/kg,onion,,,,,,,,REQUIRES_SOURCING,No MSP; AGMARKNET modal price required. Derive from AGMARKNET modal prices with a documented aggregation rule.
crop.price_per_kg,SYNTHETIC_EXPERIMENTAL,,INR/kg,tomato,,,,,,,,REQUIRES_SOURCING,No MSP; AGMARKNET modal price required. Derive from AGMARKNET modal prices with a documented aggregation rule.
crop.cultivation_cost_per_ha,SYNTHETIC_EXPERIMENTAL,,INR/ha,,,,,,,,,REQUIRES_SOURCING,"Will be DERIVED as cost_per_quintal x yield_q_per_ha once yield is sourced on a consistent CACP basis; not fabricated. Prefer DES Cost of Cultivation (A2+FL or C2, stated) over deriving from MSP cost."
crop.expected_yield,OBSERVED,"kharif 2825, rabi 3606",kg/ha,rice,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,44607.0,INR/ha,rice,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,1579 INR/q (A2+FL) x 28.25 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.cultivation_cost_per_ha,DERIVED,56939.0,INR/ha,rice,,rabi,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,1579 INR/q (A2+FL) x 36.06 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif None, rabi 3595",kg/ha,wheat,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,64854.0,INR/ha,wheat,,rabi,CACP cost x DES yield (C2 basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,1804 INR/q (C2) x 35.95 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif 2932, rabi 5306",kg/ha,maize,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,44215.0,INR/ha,maize,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,1508 INR/q (A2+FL) x 29.32 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.cultivation_cost_per_ha,DERIVED,80014.0,INR/ha,maize,,rabi,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,1508 INR/q (A2+FL) x 53.06 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif 1204, rabi 1266",kg/ha,sorghum,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,29691.0,INR/ha,sorghum,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,2466 INR/q (A2+FL) x 12.04 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.cultivation_cost_per_ha,DERIVED,31220.0,INR/ha,sorghum,,rabi,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,2466 INR/q (A2+FL) x 12.66 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
crop.expected_yield,OBSERVED,"kharif 1459, rabi None",kg/ha,pearl_millet,,,"DES / Economic Survey 2025-26 Statistical Appendix, Table 1.17 (2024-25)",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,season-split national yield,"Scope ALL_INDIA; applied uniformly across regions pending state refinement (R1->Punjab, R2->Maharashtra, R3->West Bengal, R4->Rajasthan, R5->Karnataka).",HIGH,
crop.cultivation_cost_per_ha,DERIVED,24847.0,INR/ha,pearl_millet,,kharif,CACP cost x DES yield (A2+FL basis),https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,2024,1703 INR/q (A2+FL) x 14.59 q/ha,,MEDIUM,Cost basis differs kharif A2+FL vs rabi C2; not mixed within a crop-season.
